timestep,reward
210485,-0.0601
210650,-0.0525
210794,-0.0595
210943,-0.0669
211091,-0.0584
211233,-0.0795
211378,-0.0602
211528,-0.0682
211675,-0.0527
211832,-0.0454
211982,-0.0535
212127,-0.0691
212284,-0.0728
212435,-0.066
212585,-0.044
212738,-0.0442
212889,-0.0468
213032,-0.0422
213190,-0.0716
213342,-0.0538
213491,-0.0629
213634,-0.063
213776,-0.068
213930,-0.0494
214069,-0.0601
214202,-0.0615
214349,-0.0634
214492,-0.0647
214622,-0.0737
214760,-0.0667
214912,-0.0574
215049,-0.0502
215192,-0.0707
215345,-0.0442
215486,-0.0624
215625,-0.0654
215769,-0.0691
215911,-0.0784
216066,-0.0636
216213,-0.0488
216361,-0.0449
216510,-0.0496
216654,-0.0451
216799,-0.082
216945,-0.0497
217106,-0.0614
217247,-0.0854
217397,-0.0671
217543,-0.0568
217686,-0.0588
217833,-0.0567
217972,-0.0464
218128,-0.0746
218284,-0.0652
218429,-0.0501
218572,-0.0484
218723,-0.0627
218868,-0.0601
219015,-0.0548
219161,-0.0558
219300,-0.0578
219454,-0.0574
219613,-0.0572
219756,-0.0435
219910,-0.0532
220054,-0.0645
220210,-0.0504
220359,-0.0602
220502,-0.0451
220646,-0.0457
220796,-0.0695
220948,-0.0636
221096,-0.0662
221242,-0.0491
221399,-0.0449
221553,-0.0602
221710,-0.054
221852,-0.0527
222005,-0.0606
222148,-0.0593
222294,-0.0626
222453,-0.0556
222616,-0.0323
222756,-0.0623
222912,-0.0641
223066,-0.0717
223220,-0.059
223363,-0.0609
223515,-0.0384
223654,-0.0507
223795,-0.0562
223943,-0.0506
224096,-0.0522
224249,-0.0636
224401,-0.0686
224543,-0.0751
224694,-0.0582
224836,-0.071
224973,-0.0671
225110,-0.0557
225258,-0.0536
225404,-0.0522
225560,-0.0583
225707,-0.0645
225847,-0.0528
226002,-0.0647
226149,-0.0474
226305,-0.0581
226451,-0.042
226604,-0.0524
226760,-0.0581
226910,-0.0653
227062,-0.0643
227211,-0.0688
227368,-0.0398
227506,-0.0578
227653,-0.0493
227792,-0.0693
227935,-0.0698
228070,-0.0674
228224,-0.0523
228380,-0.0533
228529,-0.0544
228670,-0.0582
228825,-0.0567
228984,-0.048
229135,-0.0545
229284,-0.0638
229436,-0.0558
229596,-0.065
229750,-0.063
229898,-0.0475
230053,-0.0518
230189,-0.0608
230325,-0.0514
230482,-0.0694
230638,-0.0664
230790,-0.0551
230940,-0.0445
231084,-0.0671
231235,-0.0604
231377,-0.0479
231527,-0.0602
231672,-0.0564
231810,-0.058
231959,-0.0425
232115,-0.0519
232269,-0.0542
232415,-0.064
232561,-0.0567
232704,-0.0552
232860,-0.063
233008,-0.0605
233155,-0.0558
233300,-0.0742
233444,-0.0605
